state,total_energy_consumed_gwh,total_energy_potential_gwh,energy_excess_capacity,solar_potential_gwh,wind_potential_gwh,biopower_potential_gwh,geothermal_potential_gwh,hydropower_potential_gwh,population
Wyoming,155911.0,13872718.0,13716807.0,11142413.0,1653856.0,553,1071451.0,4445,576851
Louisiana,1236378.0,5887841.0,4651463.0,4184642.0,1201632.0,14873,484271.0,2423,4624047
North Dakota,197695.0,13143896.0,12946201.0,9777283.0,2537824.0,8216,820226.0,347,779094
Alaska,178441.0,9696261.0,9517820.0,8283142.0,1373433.0,574,15437.0,23675,733391
Iowa,478332.0,9391618.0,8913286.0,7029896.0,1723587.0,28927,606390.0,2818,3190369
Texas,4204484.0,71862422.0,67657938.0,62153730.0,6653461.0,21975,3030250.0,3006,29527941
Nebraska,265078.0,18091386.0,17826308.0,14131975.0,3011252.0,17021,927996.0,3142,1961504
West Virginia,239802.0,333358.0,93556.0,59936.0,4951.0,2687,261376.0,4408,1793716
South Dakota,116481.0,15478679.0,15362198.0,11645187.0,2901858.0,8615,921972.0,1047,886667
Oklahoma,485694.0,16781864.0,16296170.0,14472438.0,1521651.0,5093,779667.0,3015,3959353
Montana,131115.0,14160930.0,14029815.0,9741192.0,2746271.0,5071,1653850.0,14546,1084225
Indiana,815153.0,5824490.0,5009337.0,4992151.0,377768.0,17919,434258.0,2394,6805985
Alabama,572933.0,4310763.0,3737830.0,3758163.0,283.0,12726,535489.0,4102,5039877
Kansas,328866.0,26621685.0,26292819.0,22515071.0,3101575.0,12857,989675.0,2507,2937880
Kentucky,503077.0,2360183.0,1857106.0,1862802.0,147.0,8321,484658.0,4255,4505836
Mississippi,313451.0,5602956.0,5289505.0,5016232.0,10172.0,15285,559056.0,2211,2961279
Arkansas,317658.0,5696882.0,5379224.0,5023832.0,22892.0,15444,628621.0,6093,3025891
New Mexico,214928.0,36041138.0,35826210.0,33208761.0,1399156.0,948,1430911.0,1362,2117522
Minnesota,557783.0,12761911.0,12204128.0,10840505.0,1528978.0,21390,369784.0,1254,5707390
Tennessee,643255.0,2738885.0,2095630.0,2295917.0,765.0,8079,428380.0,5744,6975218
Wisconsin,542011.0,6346907.0,5804896.0,5111135.0,573020.0,13293,647173.0,2286,5895908
South Carolina,475676.0,3720270.0,3244594.0,2803219.0,542645.0,8414,364104.0,1888,5190705
Idaho,168002.0,8546464.0,8378462.0,7466969.0,44319.0,5957,1010462.0,18757,1839106
Illinois,1150189.0,9653056.0,8502867.0,8224622.0,715537.0,31960,676055.0,4882,12671469
Ohio,1062440.0,4555781.0,3493341.0,3742740.0,299703.0,14372,495921.0,3045,11780017
Delaware,87274.0,373788.0,286514.0,289373.0,60675.0,897,22813.0,30,989948
Pennsylvania,1120354.0,1012686.0,-107668.0,631732.0,31801.0,13445,327340.0,8368,12964056
Missouri,525900.0,6928121.0,6402221.0,5381976.0,689519.0,13984,835444.0,7198,6168187
Michigan,842358.0,7644645.0,6802287.0,5290011.0,1883707.0,11897,457850.0,1180,10050811
Maine,112599.0,2152076.0,2039477.0,1105986.0,660702.0,4397,377075.0,3916,1362359
Virginia,709271.0,2602582.0,1893311.0,1932184.0,365642.0,10364,290736.0,3656,8642274
Georgia,873793.0,6159690.0,5285897.0,5566465.0,221129.0,16902,353206.0,1988,10799566
Colorado,461827.0,21820810.0,21358983.0,19452239.0,1096035.0,4137,1260610.0,7789,5812069
Washington,612672.0,3089068.0,2476396.0,1947152.0,535274.0,13825,565569.0,27248,7738692
Utah,253321.0,11278730.0,11025409.0,10290429.0,31552.0,860,952361.0,3528,3271616
North Carolina,774139.0,6041643.0,5267504.0,4329554.0,1271663.0,16649,420741.0,3036,10551162
Nevada,225085.0,18272527.0,18047442.0,16945866.0,17709.0,613,1307494.0,845,3104614
Oregon,299828.0,8583368.0,8283540.0,6586709.0,1031488.0,14683,932304.0,18184,4237256
District of Columbia,47392.0,3260.0,-44132.0,2498.0,0.0,65,697.0,0,689545
New Jersey,634242.0,969272.0,335030.0,499847.0,430124.0,3522,35230.0,549,9267130
New Hampshire,93879.0,191030.0,97151.0,63451.0,20183.0,1342,104314.0,1740,1377529
Maryland,398699.0,924623.0,525924.0,629349.0,204483.0,3328,86649.0,814,6165129
Vermont,40842.0,103289.0,62447.0,57474.0,7795.0,694,35616.0,1710,643077
Hawaii,91580.0,2925605.0,2834025.0,57126.0,2844521.0,724,20632.0,2602,1455271
Massachusetts,431446.0,1009137.0,577691.0,111395.0,802171.0,2148,92227.0,1196,6984723
Arizona,449458.0,25832806.0,25383348.0,24556067.0,26036.0,1924,1247476.0,1303,7276316
Connecticut,215419.0,118473.0,-96946.0,33959.0,26606.0,908,56078.0,922,3605944
Florida,1288572.0,5697361.0,4408789.0,5274477.0,34684.0,13357,374161.0,682,21781128
New York,1138978.0,2642611.0,1503633.0,1574148.0,677844.0,8508,375400.0,6711,19835913
California,2253037.0,21984734.0,19731697.0,17699252.0,2752441.0,27918,1475100.0,30023,39237836
Rhode Island,57283.0,118543.0,61260.0,17133.0,89243.0,617,11491.0,59,1097379
