states,solar_potential_gwh,wind_potential_gwh,biopower_potential_gwh,geothermal_potential_gwh,hydropower_potential_gwh
Alabama,3758163,283,12726,535489,4102
Alaska,8283142,1373433,574,15437,23675
Arizona,24556067,26036,1924,1247476,1303
Arkansas,5023832,22892,15444,628621,6093
California,17699252,2752441,27918,1475100,30023
Colorado,19452239,1096035,4137,1260610,7789
Connecticut,33959,26606,908,56078,922
Delaware,289373,60675,897,22813,30
District of Columbia,2498,0,65,697,0
Florida,5274477,34684,13357,374161,682
Georgia,5566465,221129,16902,353206,1988
Hawaii,57126,2844521,724,20632,2602
Idaho,7466969,44319,5957,1010462,18757
Illinois,8224622,715537,31960,676055,4882
Indiana,4992151,377768,17919,434258,2394
Iowa,7029896,1723587,28927,606390,2818
Kansas,22515071,3101575,12857,989675,2507
Kentucky,1862802,147,8321,484658,4255
Louisiana,4184642,1201632,14873,484271,2423
Maine,1105986,660702,4397,377075,3916
Maryland,629349,204483,3328,86649,814
Massachusetts,111395,802171,2148,92227,1196
Michigan,5290011,1883707,11897,457850,1180
Minnesota,10840505,1528978,21390,369784,1254
Mississippi,5016232,10172,15285,559056,2211
Missouri,5381976,689519,13984,835444,7198
Montana,9741192,2746271,5071,1653850,14546
Nebraska,14131975,3011252,17021,927996,3142
Nevada,16945866,17709,613,1307494,845
New Hampshire,63451,20183,1342,104314,1740
New Jersey,499847,430124,3522,35230,549
New Mexico,33208761,1399156,948,1430911,1362
New York,1574148,677844,8508,375400,6711
North Carolina,4329554,1271663,16649,420741,3036
North Dakota,9777283,2537824,8216,820226,347
Ohio,3742740,299703,14372,495921,3045
Oklahoma,14472438,1521651,5093,779667,3015
Oregon,6586709,1031488,14683,932304,18184
Pennsylvania,631732,31801,13445,327340,8368
Rhode Island,17133,89243,617,11491,59
South Carolina,2803219,542645,8414,364104,1888
South Dakota,11645187,2901858,8615,921972,1047
Tennessee,2295917,765,8079,428380,5744
Texas,62153730,6653461,21975,3030250,3006
Utah,10290429,31552,860,952361,3528
Vermont,57474,7795,694,35616,1710
Virginia,1932184,365642,10364,290736,3656
Washington,1947152,535274,13825,565569,27248
West Virginia,59936,4951,2687,261376,4408
Wisconsin,5111135,573020,13293,647173,2286
Wyoming,11142413,1653856,553,1071451,4445
